natCu(p,x)63Zn				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(mCi/uAh)	(MBq/uA)

4.0	0.01	1.12E-03	3.02E-05	6.80E-04
4.1	0.11	1.45E-02	3.91E-04	8.80E-03
4.2	2.20	2.97E-01	8.04E-03	1.81E-01
4.3	6.09	1.09E+00	2.94E-02	6.61E-01
4.4	11.54	2.61E+00	7.05E-02	1.59E+00
4.5	18.25	5.06E+00	1.37E-01	3.08E+00
4.6	25.83	8.57E+00	2.32E-01	5.21E+00
4.7	34.01	1.33E+01	3.59E-01	8.08E+00
4.8	42.56	1.93E+01	5.20E-01	1.17E+01
4.9	51.23	2.65E+01	7.17E-01	1.62E+01
5.0	59.80	3.52E+01	9.51E-01	2.14E+01
5.1	68.07	4.52E+01	1.22E+00	2.75E+01
5.2	76.00	5.64E+01	1.52E+00	3.43E+01
5.3	83.62	6.90E+01	1.86E+00	4.20E+01
5.4	90.92	8.28E+01	2.24E+00	5.04E+01
5.5	97.92	9.78E+01	2.64E+00	5.95E+01
5.6	104.63	1.14E+02	3.09E+00	6.95E+01
5.7	111.07	1.32E+02	3.56E+00	8.01E+01
5.8	117.23	1.50E+02	4.06E+00	9.15E+01
5.9	123.14	1.70E+02	4.60E+00	1.04E+02
6.0	128.81	1.91E+02	5.18E+00	1.17E+02
6.1	134.24	2.14E+02	5.78E+00	1.30E+02
6.2	139.45	2.37E+02	6.41E+00	1.44E+02
6.3	144.48	2.62E+02	7.07E+00	1.59E+02
6.4	149.32	2.87E+02	7.76E+00	1.75E+02
6.5	154.02	3.14E+02	8.49E+00	1.91E+02
6.6	158.58	3.42E+02	9.23E+00	2.08E+02
6.7	163.03	3.71E+02	1.00E+01	2.25E+02
6.8	167.38	4.00E+02	1.08E+01	2.44E+02
6.9	171.67	4.31E+02	1.17E+01	2.62E+02
7.0	175.90	4.64E+02	1.25E+01	2.82E+02
7.1	180.10	4.97E+02	1.34E+01	3.02E+02
7.2	184.27	5.31E+02	1.44E+01	3.23E+02
7.3	188.42	5.67E+02	1.53E+01	3.45E+02
7.4	192.54	6.03E+02	1.63E+01	3.67E+02
7.5	196.66	6.41E+02	1.73E+01	3.90E+02
7.6	200.76	6.80E+02	1.84E+01	4.14E+02
7.7	204.85	7.20E+02	1.95E+01	4.38E+02
7.8	208.94	7.61E+02	2.06E+01	4.63E+02
7.9	213.03	8.04E+02	2.17E+01	4.89E+02
8.0	217.12	8.47E+02	2.29E+01	5.16E+02
8.1	221.22	8.92E+02	2.41E+01	5.43E+02
8.2	225.33	9.38E+02	2.54E+01	5.71E+02
8.3	229.44	9.85E+02	2.66E+01	6.00E+02
