natCu(p,x)62Zn				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(mCi/uAh)	(MBq/uA)

13.0	0.13	2.51E-03	6.79E-05	2.42E-03
13.1	0.11	4.70E-03	1.27E-04	4.53E-03
13.2	0.10	6.66E-03	1.80E-04	6.42E-03
13.3	0.10	8.65E-03	2.34E-04	8.33E-03
13.4	0.12	1.10E-02	2.98E-04	1.06E-02
13.5	0.16	1.43E-02	3.86E-04	1.38E-02
13.6	0.24	1.91E-02	5.16E-04	1.84E-02
13.7	0.35	2.62E-02	7.07E-04	2.52E-02
13.8	0.50	3.64E-02	9.85E-04	3.51E-02
13.9	0.70	5.09E-02	1.38E-03	4.91E-02
14.0	0.96	7.08E-02	1.91E-03	6.83E-02
14.1	1.28	9.75E-02	2.64E-03	9.39E-02
14.2	1.65	1.32E-01	3.57E-03	1.27E-01
14.3	2.09	1.76E-01	4.77E-03	1.70E-01
14.4	2.59	2.31E-01	6.25E-03	2.23E-01
14.5	3.15	2.98E-01	8.06E-03	2.87E-01
14.6	3.77	3.79E-01	1.02E-02	3.65E-01
14.7	4.44	4.75E-01	1.28E-02	4.58E-01
14.8	5.18	5.87E-01	1.59E-02	5.65E-01
14.9	5.97	7.17E-01	1.94E-02	6.91E-01
15.0	6.82	8.66E-01	2.34E-02	8.34E-01
15.1	7.73	1.04E+00	2.80E-02	9.98E-01
15.2	8.69	1.23E+00	3.32E-02	1.18E+00
15.3	9.70	1.44E+00	3.90E-02	1.39E+00
15.4	10.75	1.68E+00	4.55E-02	1.62E+00
15.5	11.84	1.95E+00	5.26E-02	1.88E+00
15.6	12.96	2.24E+00	6.05E-02	2.16E+00
15.7	14.11	2.56E+00	6.91E-02	2.46E+00
15.8	15.29	2.91E+00	7.85E-02	2.80E+00
15.9	16.48	3.28E+00	8.87E-02	3.16E+00
16.0	17.69	3.69E+00	9.97E-02	3.56E+00
16.1	18.91	4.13E+00	1.12E-01	3.98E+00
16.2	20.13	4.59E+00	1.24E-01	4.43E+00
16.3	21.36	5.09E+00	1.38E-01	4.90E+00
16.4	22.59	5.62E+00	1.52E-01	5.41E+00
16.5	23.81	6.18E+00	1.67E-01	5.95E+00
16.6	25.03	6.77E+00	1.83E-01	6.52E+00
16.7	26.25	7.39E+00	2.00E-01	7.12E+00
16.8	27.45	8.05E+00	2.17E-01	7.75E+00
16.9	28.65	8.73E+00	2.36E-01	8.41E+00
17.0	29.82	9.45E+00	2.55E-01	9.10E+00
17.1	30.99	1.02E+01	2.76E-01	9.83E+00
17.2	32.13	1.10E+01	2.97E-01	1.06E+01
17.3	33.25	1.18E+01	3.19E-01	1.14E+01
