natCu(p,x)65Zn				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

26.2	10.20	5.52E-01	1.49E+01	5.52E-01
26.3	10.14	5.52E-01	1.49E+01	5.52E-01
26.4	10.09	5.53E-01	1.49E+01	5.53E-01
26.5	10.03	5.53E-01	1.50E+01	5.53E-01
26.6	9.98	5.54E-01	1.50E+01	5.54E-01
26.7	9.92	5.54E-01	1.50E+01	5.54E-01
26.8	9.87	5.55E-01	1.50E+01	5.55E-01
26.9	9.82	5.55E-01	1.50E+01	5.55E-01
27.0	9.77	5.56E-01	1.50E+01	5.56E-01
27.1	9.72	5.56E-01	1.50E+01	5.56E-01
27.2	9.67	5.57E-01	1.51E+01	5.57E-01
27.3	9.62	5.58E-01	1.51E+01	5.57E-01
27.4	9.58	5.58E-01	1.51E+01	5.58E-01
27.5	9.53	5.59E-01	1.51E+01	5.59E-01
27.6	9.48	5.59E-01	1.51E+01	5.59E-01
27.7	9.44	5.60E-01	1.51E+01	5.60E-01
27.8	9.39	5.60E-01	1.51E+01	5.60E-01
27.9	9.35	5.61E-01	1.52E+01	5.61E-01
28.0	9.31	5.61E-01	1.52E+01	5.61E-01
28.1	9.26	5.62E-01	1.52E+01	5.62E-01
28.2	9.22	5.62E-01	1.52E+01	5.62E-01
28.3	9.18	5.63E-01	1.52E+01	5.63E-01
28.4	9.14	5.63E-01	1.52E+01	5.63E-01
28.5	9.10	5.64E-01	1.52E+01	5.64E-01
28.6	9.06	5.64E-01	1.52E+01	5.64E-01
28.7	9.02	5.65E-01	1.53E+01	5.65E-01
28.8	8.99	5.65E-01	1.53E+01	5.65E-01
28.9	8.95	5.66E-01	1.53E+01	5.66E-01
29.0	8.91	5.66E-01	1.53E+01	5.66E-01
29.1	8.87	5.67E-01	1.53E+01	5.67E-01
29.2	8.84	5.67E-01	1.53E+01	5.67E-01
29.3	8.80	5.68E-01	1.53E+01	5.68E-01
29.4	8.76	5.68E-01	1.54E+01	5.68E-01
29.5	8.73	5.69E-01	1.54E+01	5.69E-01
29.6	8.69	5.69E-01	1.54E+01	5.69E-01
29.7	8.66	5.70E-01	1.54E+01	5.70E-01
29.8	8.63	5.70E-01	1.54E+01	5.70E-01
29.9	8.59	5.71E-01	1.54E+01	5.71E-01
30.0	8.56	5.71E-01	1.54E+01	5.71E-01
30.1	8.53	5.72E-01	1.55E+01	5.72E-01
30.2	8.49	5.72E-01	1.55E+01	5.72E-01
30.3	8.46	5.73E-01	1.55E+01	5.73E-01
30.4	8.43	5.73E-01	1.55E+01	5.73E-01
30.5	8.40	5.74E-01	1.55E+01	5.74E-01
30.6	8.37	5.74E-01	1.55E+01	5.74E-01
30.7	8.33	5.75E-01	1.55E+01	5.75E-01
30.8	8.30	5.75E-01	1.55E+01	5.75E-01
30.9	8.27	5.76E-01	1.56E+01	5.76E-01
31.0	8.24	5.76E-01	1.56E+01	5.76E-01
31.1	8.21	5.77E-01	1.56E+01	5.77E-01
31.2	8.18	5.77E-01	1.56E+01	5.77E-01
31.3	8.15	5.78E-01	1.56E+01	5.78E-01
31.4	8.12	5.78E-01	1.56E+01	5.78E-01
31.5	8.09	5.79E-01	1.56E+01	5.79E-01
31.6	8.07	5.79E-01	1.57E+01	5.79E-01
31.7	8.04	5.80E-01	1.57E+01	5.80E-01
31.8	8.01	5.80E-01	1.57E+01	5.80E-01
31.9	7.98	5.81E-01	1.57E+01	5.81E-01
32.0	7.95	5.81E-01	1.57E+01	5.81E-01
32.1	7.92	5.82E-01	1.57E+01	5.82E-01
32.2	7.90	5.82E-01	1.57E+01	5.82E-01
32.3	7.87	5.83E-01	1.57E+01	5.83E-01
32.4	7.84	5.83E-01	1.58E+01	5.83E-01
32.5	7.82	5.84E-01	1.58E+01	5.84E-01
32.6	7.79	5.84E-01	1.58E+01	5.84E-01
32.7	7.76	5.85E-01	1.58E+01	5.84E-01
32.8	7.74	5.85E-01	1.58E+01	5.85E-01
32.9	7.71	5.85E-01	1.58E+01	5.85E-01
33.0	7.68	5.86E-01	1.58E+01	5.86E-01
33.1	7.66	5.86E-01	1.59E+01	5.86E-01
33.2	7.63	5.87E-01	1.59E+01	5.87E-01
33.3	7.61	5.87E-01	1.59E+01	5.87E-01
33.4	7.58	5.88E-01	1.59E+01	5.88E-01
33.5	7.56	5.88E-01	1.59E+01	5.88E-01
33.6	7.53	5.89E-01	1.59E+01	5.89E-01
33.7	7.51	5.89E-01	1.59E+01	5.89E-01
33.8	7.48	5.90E-01	1.59E+01	5.90E-01
33.9	7.46	5.90E-01	1.60E+01	5.90E-01
34.0	7.43	5.91E-01	1.60E+01	5.91E-01
34.1	7.41	5.91E-01	1.60E+01	5.91E-01
34.2	7.39	5.92E-01	1.60E+01	5.92E-01
34.3	7.36	5.92E-01	1.60E+01	5.92E-01
34.4	7.34	5.93E-01	1.60E+01	5.93E-01
34.5	7.32	5.93E-01	1.60E+01	5.93E-01
34.6	7.29	5.94E-01	1.60E+01	5.94E-01
34.7	7.27	5.94E-01	1.61E+01	5.94E-01
34.8	7.25	5.95E-01	1.61E+01	5.95E-01
34.9	7.22	5.95E-01	1.61E+01	5.95E-01
35.0	7.20	5.96E-01	1.61E+01	5.96E-01
35.1	7.18	5.96E-01	1.61E+01	5.96E-01
35.2	7.15	5.96E-01	1.61E+01	5.96E-01
35.3	7.13	5.97E-01	1.61E+01	5.97E-01
35.4	7.11	5.97E-01	1.61E+01	5.97E-01
35.5	7.09	5.98E-01	1.62E+01	5.98E-01
35.6	7.07	5.98E-01	1.62E+01	5.98E-01
35.7	7.04	5.99E-01	1.62E+01	5.99E-01
35.8	7.02	5.99E-01	1.62E+01	5.99E-01
35.9	7.00	6.00E-01	1.62E+01	6.00E-01
36.0	6.98	6.00E-01	1.62E+01	6.00E-01
36.1	6.96	6.01E-01	1.62E+01	6.01E-01
36.2	6.94	6.01E-01	1.62E+01	6.01E-01
36.3	6.92	6.02E-01	1.63E+01	6.02E-01
36.4	6.89	6.02E-01	1.63E+01	6.02E-01
36.5	6.87	6.03E-01	1.63E+01	6.03E-01
36.6	6.85	6.03E-01	1.63E+01	6.03E-01
36.7	6.83	6.04E-01	1.63E+01	6.04E-01
36.8	6.81	6.04E-01	1.63E+01	6.04E-01
36.9	6.79	6.04E-01	1.63E+01	6.04E-01
37.0	6.77	6.05E-01	1.63E+01	6.05E-01
37.1	6.75	6.05E-01	1.64E+01	6.05E-01
37.2	6.73	6.06E-01	1.64E+01	6.06E-01
37.3	6.71	6.06E-01	1.64E+01	6.06E-01
37.4	6.69	6.07E-01	1.64E+01	6.07E-01
37.5	6.67	6.07E-01	1.64E+01	6.07E-01
37.6	6.65	6.08E-01	1.64E+01	6.08E-01
37.7	6.63	6.08E-01	1.64E+01	6.08E-01
37.8	6.61	6.09E-01	1.65E+01	6.09E-01
37.9	6.59	6.09E-01	1.65E+01	6.09E-01
38.0	6.57	6.10E-01	1.65E+01	6.10E-01
38.1	6.55	6.10E-01	1.65E+01	6.10E-01
38.2	6.53	6.11E-01	1.65E+01	6.10E-01
38.3	6.52	6.11E-01	1.65E+01	6.11E-01
38.4	6.50	6.11E-01	1.65E+01	6.11E-01
38.5	6.48	6.12E-01	1.65E+01	6.12E-01
38.6	6.46	6.12E-01	1.66E+01	6.12E-01
38.7	6.44	6.13E-01	1.66E+01	6.13E-01
38.8	6.42	6.13E-01	1.66E+01	6.13E-01
38.9	6.40	6.14E-01	1.66E+01	6.14E-01
39.0	6.39	6.14E-01	1.66E+01	6.14E-01
39.1	6.37	6.15E-01	1.66E+01	6.15E-01
39.2	6.35	6.15E-01	1.66E+01	6.15E-01
39.3	6.33	6.16E-01	1.66E+01	6.16E-01
39.4	6.31	6.16E-01	1.66E+01	6.16E-01
39.5	6.30	6.16E-01	1.67E+01	6.16E-01
39.6	6.28	6.17E-01	1.67E+01	6.17E-01
39.7	6.26	6.17E-01	1.67E+01	6.17E-01
39.8	6.24	6.18E-01	1.67E+01	6.18E-01
39.9	6.22	6.18E-01	1.67E+01	6.18E-01
40.0	6.21	6.19E-01	1.67E+01	6.19E-01
40.1	6.19	6.19E-01	1.67E+01	6.19E-01
40.2	6.17	6.20E-01	1.67E+01	6.20E-01
40.3	6.16	6.20E-01	1.68E+01	6.20E-01
40.4	6.14	6.21E-01	1.68E+01	6.21E-01
40.5	6.12	6.21E-01	1.68E+01	6.21E-01
40.6	6.10	6.21E-01	1.68E+01	6.21E-01
40.7	6.09	6.22E-01	1.68E+01	6.22E-01
40.8	6.07	6.22E-01	1.68E+01	6.22E-01
40.9	6.05	6.23E-01	1.68E+01	6.23E-01
41.0	6.04	6.23E-01	1.68E+01	6.23E-01
41.1	6.02	6.24E-01	1.69E+01	6.24E-01
41.2	6.00	6.24E-01	1.69E+01	6.24E-01
41.3	5.99	6.25E-01	1.69E+01	6.25E-01
41.4	5.97	6.25E-01	1.69E+01	6.25E-01
41.5	5.96	6.26E-01	1.69E+01	6.26E-01
41.6	5.94	6.26E-01	1.69E+01	6.26E-01
41.7	5.92	6.26E-01	1.69E+01	6.26E-01
41.8	5.91	6.27E-01	1.69E+01	6.27E-01
41.9	5.89	6.27E-01	1.70E+01	6.27E-01
42.0	5.88	6.28E-01	1.70E+01	6.28E-01
42.1	5.86	6.28E-01	1.70E+01	6.28E-01
42.2	5.85	6.29E-01	1.70E+01	6.29E-01
42.3	5.83	6.29E-01	1.70E+01	6.29E-01
42.4	5.81	6.30E-01	1.70E+01	6.30E-01
42.5	5.80	6.30E-01	1.70E+01	6.30E-01
42.6	5.78	6.30E-01	1.70E+01	6.30E-01
42.7	5.77	6.31E-01	1.71E+01	6.31E-01
42.8	5.75	6.31E-01	1.71E+01	6.31E-01
42.9	5.74	6.32E-01	1.71E+01	6.32E-01
43.0	5.72	6.32E-01	1.71E+01	6.32E-01
43.1	5.71	6.33E-01	1.71E+01	6.33E-01
43.2	5.69	6.33E-01	1.71E+01	6.33E-01
43.3	5.68	6.34E-01	1.71E+01	6.34E-01
43.4	5.66	6.34E-01	1.71E+01	6.34E-01
43.5	5.65	6.34E-01	1.71E+01	6.34E-01
43.6	5.63	6.35E-01	1.72E+01	6.35E-01
43.7	5.62	6.35E-01	1.72E+01	6.35E-01
43.8	5.60	6.36E-01	1.72E+01	6.36E-01
43.9	5.59	6.36E-01	1.72E+01	6.36E-01
44.0	5.58	6.37E-01	1.72E+01	6.37E-01
44.1	5.56	6.37E-01	1.72E+01	6.37E-01
44.2	5.55	6.38E-01	1.72E+01	6.38E-01
44.3	5.53	6.38E-01	1.72E+01	6.38E-01
44.4	5.52	6.38E-01	1.73E+01	6.38E-01
44.5	5.50	6.39E-01	1.73E+01	6.39E-01
44.6	5.49	6.39E-01	1.73E+01	6.39E-01
44.7	5.48	6.40E-01	1.73E+01	6.40E-01
44.8	5.46	6.40E-01	1.73E+01	6.40E-01
44.9	5.45	6.41E-01	1.73E+01	6.41E-01
45.0	5.44	6.41E-01	1.73E+01	6.41E-01
45.1	5.42	6.42E-01	1.73E+01	6.42E-01
45.2	5.41	6.42E-01	1.74E+01	6.42E-01
45.3	5.39	6.42E-01	1.74E+01	6.42E-01
45.4	5.38	6.43E-01	1.74E+01	6.43E-01
45.5	5.37	6.43E-01	1.74E+01	6.43E-01
45.6	5.35	6.44E-01	1.74E+01	6.44E-01
45.7	5.34	6.44E-01	1.74E+01	6.44E-01
45.8	5.33	6.45E-01	1.74E+01	6.45E-01
45.9	5.31	6.45E-01	1.74E+01	6.45E-01
46.0	5.30	6.45E-01	1.74E+01	6.45E-01
46.1	5.29	6.46E-01	1.75E+01	6.46E-01
46.2	5.28	6.46E-01	1.75E+01	6.46E-01
46.3	5.26	6.47E-01	1.75E+01	6.47E-01
46.4	5.25	6.47E-01	1.75E+01	6.47E-01
46.5	5.24	6.48E-01	1.75E+01	6.48E-01
46.6	5.22	6.48E-01	1.75E+01	6.48E-01
46.7	5.21	6.49E-01	1.75E+01	6.48E-01
46.8	5.20	6.49E-01	1.75E+01	6.49E-01
46.9	5.19	6.49E-01	1.76E+01	6.49E-01
47.0	5.17	6.50E-01	1.76E+01	6.50E-01
47.1	5.16	6.50E-01	1.76E+01	6.50E-01
47.2	5.15	6.51E-01	1.76E+01	6.51E-01
47.3	5.14	6.51E-01	1.76E+01	6.51E-01
47.4	5.12	6.52E-01	1.76E+01	6.51E-01
47.5	5.11	6.52E-01	1.76E+01	6.52E-01
47.6	5.10	6.52E-01	1.76E+01	6.52E-01
47.7	5.09	6.53E-01	1.76E+01	6.53E-01
47.8	5.08	6.53E-01	1.77E+01	6.53E-01
47.9	5.06	6.54E-01	1.77E+01	6.54E-01
48.0	5.05	6.54E-01	1.77E+01	6.54E-01
48.1	5.04	6.55E-01	1.77E+01	6.55E-01
48.2	5.03	6.55E-01	1.77E+01	6.55E-01
48.3	5.02	6.55E-01	1.77E+01	6.55E-01
48.4	5.00	6.56E-01	1.77E+01	6.56E-01
48.5	4.99	6.56E-01	1.77E+01	6.56E-01
