natCu(p,x)56Co				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

53.7	0.74	5.94E-03	1.61E-01	5.94E-03
53.8	0.77	6.17E-03	1.67E-01	6.17E-03
53.9	0.80	6.41E-03	1.73E-01	6.41E-03
54.0	0.83	6.65E-03	1.80E-01	6.65E-03
54.1	0.86	6.91E-03	1.87E-01	6.91E-03
54.2	0.90	7.17E-03	1.94E-01	7.17E-03
54.3	0.93	7.45E-03	2.01E-01	7.45E-03
54.4	0.97	7.74E-03	2.09E-01	7.74E-03
54.5	1.00	8.04E-03	2.17E-01	8.04E-03
54.6	1.04	8.35E-03	2.26E-01	8.35E-03
54.7	1.08	8.67E-03	2.34E-01	8.67E-03
54.8	1.12	9.01E-03	2.43E-01	9.01E-03
54.9	1.16	9.36E-03	2.53E-01	9.35E-03
55.0	1.20	9.72E-03	2.63E-01	9.71E-03
55.1	1.24	1.01E-02	2.73E-01	1.01E-02
55.2	1.28	1.05E-02	2.83E-01	1.05E-02
55.3	1.32	1.09E-02	2.94E-01	1.09E-02
55.4	1.37	1.13E-02	3.05E-01	1.13E-02
55.5	1.41	1.17E-02	3.17E-01	1.17E-02
55.6	1.45	1.22E-02	3.29E-01	1.22E-02
55.7	1.50	1.26E-02	3.41E-01	1.26E-02
55.8	1.55	1.31E-02	3.54E-01	1.31E-02
55.9	1.59	1.36E-02	3.67E-01	1.36E-02
56.0	1.64	1.41E-02	3.80E-01	1.41E-02
56.1	1.69	1.46E-02	3.94E-01	1.46E-02
56.2	1.75	1.51E-02	4.09E-01	1.51E-02
56.3	1.80	1.57E-02	4.24E-01	1.57E-02
56.4	1.85	1.62E-02	4.39E-01	1.62E-02
56.5	1.91	1.68E-02	4.55E-01	1.68E-02
56.6	1.97	1.74E-02	4.71E-01	1.74E-02
56.7	2.03	1.81E-02	4.88E-01	1.81E-02
56.8	2.09	1.87E-02	5.05E-01	1.87E-02
56.9	2.15	1.94E-02	5.23E-01	1.94E-02
57.0	2.21	2.00E-02	5.42E-01	2.00E-02
57.1	2.27	2.08E-02	5.61E-01	2.07E-02
57.2	2.33	2.15E-02	5.80E-01	2.15E-02
57.3	2.40	2.22E-02	6.01E-01	2.22E-02
57.4	2.46	2.30E-02	6.21E-01	2.30E-02
57.5	2.53	2.38E-02	6.43E-01	2.38E-02
57.6	2.59	2.46E-02	6.64E-01	2.46E-02
57.7	2.66	2.54E-02	6.87E-01	2.54E-02
57.8	2.73	2.63E-02	7.10E-01	2.63E-02
57.9	2.81	2.71E-02	7.34E-01	2.71E-02
58.0	2.88	2.81E-02	7.58E-01	2.80E-02
58.1	2.96	2.90E-02	7.83E-01	2.90E-02
58.2	3.03	2.99E-02	8.09E-01	2.99E-02
58.3	3.11	3.09E-02	8.36E-01	3.09E-02
58.4	3.19	3.19E-02	8.63E-01	3.19E-02
58.5	3.27	3.30E-02	8.91E-01	3.30E-02
58.6	3.35	3.40E-02	9.20E-01	3.40E-02
58.7	3.43	3.51E-02	9.49E-01	3.51E-02
58.8	3.51	3.62E-02	9.79E-01	3.62E-02
58.9	3.60	3.74E-02	1.01E+00	3.74E-02
59.0	3.68	3.85E-02	1.04E+00	3.85E-02
59.1	3.76	3.97E-02	1.07E+00	3.97E-02
59.2	3.85	4.10E-02	1.11E+00	4.10E-02
59.3	3.93	4.22E-02	1.14E+00	4.22E-02
59.4	4.01	4.35E-02	1.18E+00	4.35E-02
59.5	4.10	4.48E-02	1.21E+00	4.48E-02
59.6	4.18	4.62E-02	1.25E+00	4.62E-02
59.7	4.27	4.75E-02	1.28E+00	4.75E-02
59.8	4.36	4.89E-02	1.32E+00	4.89E-02
59.9	4.44	5.04E-02	1.36E+00	5.04E-02
60.0	4.54	5.18E-02	1.40E+00	5.18E-02
60.1	4.63	5.33E-02	1.44E+00	5.33E-02
60.2	4.72	5.49E-02	1.48E+00	5.48E-02
60.3	4.82	5.64E-02	1.52E+00	5.64E-02
60.4	4.92	5.80E-02	1.57E+00	5.80E-02
60.5	5.02	5.96E-02	1.61E+00	5.96E-02
60.6	5.12	6.13E-02	1.66E+00	6.13E-02
60.7	5.22	6.30E-02	1.70E+00	6.30E-02
60.8	5.32	6.48E-02	1.75E+00	6.47E-02
60.9	5.42	6.65E-02	1.80E+00	6.65E-02
61.0	5.52	6.83E-02	1.85E+00	6.83E-02
61.1	5.62	7.02E-02	1.90E+00	7.02E-02
61.2	5.72	7.21E-02	1.95E+00	7.20E-02
61.3	5.82	7.40E-02	2.00E+00	7.39E-02
61.4	5.92	7.59E-02	2.05E+00	7.59E-02
61.5	6.02	7.79E-02	2.11E+00	7.79E-02
61.6	6.12	7.99E-02	2.16E+00	7.99E-02
61.7	6.22	8.20E-02	2.22E+00	8.20E-02
61.8	6.32	8.41E-02	2.27E+00	8.40E-02
61.9	6.43	8.62E-02	2.33E+00	8.62E-02
62.0	6.53	8.84E-02	2.39E+00	8.83E-02
62.1	6.63	9.06E-02	2.45E+00	9.05E-02
62.2	6.74	9.28E-02	2.51E+00	9.28E-02
62.3	6.84	9.51E-02	2.57E+00	9.51E-02
62.4	6.95	9.74E-02	2.63E+00	9.74E-02
62.5	7.05	9.97E-02	2.70E+00	9.97E-02
62.6	7.16	1.02E-01	2.76E+00	1.02E-01
62.7	7.26	1.05E-01	2.83E+00	1.05E-01
62.8	7.37	1.07E-01	2.89E+00	1.07E-01
62.9	7.48	1.10E-01	2.96E+00	1.10E-01
63.0	7.59	1.12E-01	3.03E+00	1.12E-01
63.1	7.69	1.15E-01	3.10E+00	1.15E-01
63.2	7.80	1.17E-01	3.17E+00	1.17E-01
63.3	7.91	1.20E-01	3.24E+00	1.20E-01
63.4	8.01	1.23E-01	3.32E+00	1.23E-01
63.5	8.12	1.25E-01	3.39E+00	1.25E-01
63.6	8.23	1.28E-01	3.47E+00	1.28E-01
63.7	8.33	1.31E-01	3.54E+00	1.31E-01
63.8	8.44	1.34E-01	3.62E+00	1.34E-01
63.9	8.55	1.37E-01	3.70E+00	1.37E-01
64.0	8.66	1.40E-01	3.78E+00	1.40E-01
64.1	8.76	1.43E-01	3.86E+00	1.43E-01
64.2	8.87	1.46E-01	3.94E+00	1.46E-01
64.3	8.98	1.49E-01	4.02E+00	1.49E-01
64.4	9.08	1.52E-01	4.11E+00	1.52E-01
64.5	9.19	1.55E-01	4.19E+00	1.55E-01
64.6	9.29	1.58E-01	4.28E+00	1.58E-01
64.7	9.40	1.62E-01	4.37E+00	1.61E-01
64.8	9.50	1.65E-01	4.45E+00	1.65E-01
64.9	9.60	1.68E-01	4.54E+00	1.68E-01
65.0	9.70	1.71E-01	4.63E+00	1.71E-01
65.1	9.80	1.75E-01	4.72E+00	1.75E-01
65.2	9.90	1.78E-01	4.82E+00	1.78E-01
65.3	10.00	1.82E-01	4.91E+00	1.82E-01
65.4	10.09	1.85E-01	5.01E+00	1.85E-01
65.5	10.19	1.89E-01	5.10E+00	1.89E-01
65.6	10.28	1.92E-01	5.20E+00	1.92E-01
65.7	10.37	1.96E-01	5.29E+00	1.96E-01
65.8	10.46	2.00E-01	5.39E+00	2.00E-01
65.9	10.55	2.03E-01	5.49E+00	2.03E-01
66.0	10.64	2.07E-01	5.59E+00	2.07E-01
66.1	10.73	2.11E-01	5.69E+00	2.11E-01
66.2	10.82	2.14E-01	5.80E+00	2.14E-01
66.3	10.90	2.18E-01	5.90E+00	2.18E-01
66.4	10.99	2.22E-01	6.00E+00	2.22E-01
66.5	11.08	2.26E-01	6.11E+00	2.26E-01
66.6	11.16	2.30E-01	6.22E+00	2.30E-01
66.7	11.24	2.34E-01	6.32E+00	2.34E-01
66.8	11.32	2.38E-01	6.43E+00	2.38E-01
66.9	11.40	2.42E-01	6.54E+00	2.42E-01
67.0	11.48	2.46E-01	6.65E+00	2.46E-01
67.1	11.56	2.50E-01	6.76E+00	2.50E-01
67.2	11.64	2.54E-01	6.87E+00	2.54E-01
67.3	11.71	2.58E-01	6.98E+00	2.58E-01
67.4	11.79	2.63E-01	7.10E+00	2.63E-01
67.5	11.86	2.67E-01	7.21E+00	2.67E-01
67.6	11.93	2.71E-01	7.33E+00	2.71E-01
67.7	12.00	2.75E-01	7.44E+00	2.75E-01
67.8	12.07	2.80E-01	7.56E+00	2.80E-01
67.9	12.13	2.84E-01	7.67E+00	2.84E-01
68.0	12.20	2.88E-01	7.79E+00	2.88E-01
68.1	12.26	2.93E-01	7.91E+00	2.93E-01
68.2	12.32	2.97E-01	8.03E+00	2.97E-01
68.3	12.38	3.02E-01	8.15E+00	3.02E-01
68.4	12.43	3.06E-01	8.27E+00	3.06E-01
68.5	12.49	3.11E-01	8.39E+00	3.10E-01
68.6	12.54	3.15E-01	8.52E+00	3.15E-01
68.7	12.59	3.20E-01	8.64E+00	3.20E-01
68.8	12.64	3.24E-01	8.76E+00	3.24E-01
68.9	12.68	3.29E-01	8.88E+00	3.29E-01
69.0	12.73	3.33E-01	9.01E+00	3.33E-01
69.1	12.77	3.38E-01	9.13E+00	3.38E-01
69.2	12.81	3.43E-01	9.26E+00	3.43E-01
69.3	12.84	3.47E-01	9.39E+00	3.47E-01
69.4	12.88	3.52E-01	9.51E+00	3.52E-01
69.5	12.92	3.57E-01	9.64E+00	3.57E-01
69.6	12.95	3.61E-01	9.77E+00	3.61E-01
69.7	12.98	3.66E-01	9.90E+00	3.66E-01
69.8	13.01	3.71E-01	1.00E+01	3.71E-01
69.9	13.03	3.76E-01	1.02E+01	3.76E-01
70.0	13.06	3.80E-01	1.03E+01	3.80E-01
70.1	13.08	3.85E-01	1.04E+01	3.85E-01
70.2	13.10	3.90E-01	1.05E+01	3.90E-01
70.3	13.12	3.95E-01	1.07E+01	3.95E-01
70.4	13.14	4.00E-01	1.08E+01	4.00E-01
70.5	13.16	4.05E-01	1.09E+01	4.05E-01
70.6	13.18	4.09E-01	1.11E+01	4.09E-01
70.7	13.19	4.14E-01	1.12E+01	4.14E-01
70.8	13.21	4.19E-01	1.13E+01	4.19E-01
70.9	13.22	4.24E-01	1.15E+01	4.24E-01
71.0	13.23	4.29E-01	1.16E+01	4.29E-01
71.1	13.24	4.34E-01	1.17E+01	4.34E-01
71.2	13.25	4.39E-01	1.19E+01	4.39E-01
71.3	13.26	4.44E-01	1.20E+01	4.44E-01
71.4	13.27	4.49E-01	1.21E+01	4.49E-01
71.5	13.28	4.54E-01	1.23E+01	4.54E-01
71.6	13.29	4.59E-01	1.24E+01	4.59E-01
71.7	13.29	4.64E-01	1.25E+01	4.64E-01
71.8	13.30	4.69E-01	1.27E+01	4.69E-01
71.9	13.31	4.74E-01	1.28E+01	4.74E-01
72.0	13.31	4.79E-01	1.29E+01	4.78E-01
72.1	13.32	4.84E-01	1.31E+01	4.83E-01
72.2	13.32	4.89E-01	1.32E+01	4.89E-01
72.3	13.33	4.94E-01	1.33E+01	4.94E-01
72.4	13.33	4.99E-01	1.35E+01	4.99E-01
72.5	13.33	5.04E-01	1.36E+01	5.04E-01
72.6	13.33	5.09E-01	1.37E+01	5.09E-01
72.7	13.34	5.14E-01	1.39E+01	5.14E-01
72.8	13.34	5.19E-01	1.40E+01	5.19E-01
72.9	13.34	5.24E-01	1.42E+01	5.24E-01
73.0	13.34	5.29E-01	1.43E+01	5.29E-01
73.1	13.34	5.34E-01	1.44E+01	5.34E-01
73.2	13.34	5.39E-01	1.46E+01	5.39E-01
73.3	13.34	5.44E-01	1.47E+01	5.44E-01
73.4	13.34	5.49E-01	1.48E+01	5.49E-01
73.5	13.34	5.54E-01	1.50E+01	5.54E-01
73.6	13.33	5.59E-01	1.51E+01	5.59E-01
73.7	13.33	5.64E-01	1.53E+01	5.64E-01
73.8	13.33	5.70E-01	1.54E+01	5.69E-01
73.9	13.32	5.75E-01	1.55E+01	5.75E-01
74.0	13.32	5.80E-01	1.57E+01	5.80E-01
74.1	13.31	5.85E-01	1.58E+01	5.85E-01
74.2	13.31	5.90E-01	1.59E+01	5.90E-01
74.3	13.30	5.95E-01	1.61E+01	5.95E-01
74.4	13.30	6.00E-01	1.62E+01	6.00E-01
74.5	13.29	6.05E-01	1.64E+01	6.05E-01
74.6	13.28	6.11E-01	1.65E+01	6.10E-01
74.7	13.27	6.16E-01	1.66E+01	6.16E-01
74.8	13.27	6.21E-01	1.68E+01	6.21E-01
74.9	13.26	6.26E-01	1.69E+01	6.26E-01
75.0	13.25	6.31E-01	1.71E+01	6.31E-01
75.1	13.24	6.36E-01	1.72E+01	6.36E-01
75.2	13.23	6.41E-01	1.73E+01	6.41E-01
75.3	13.22	6.47E-01	1.75E+01	6.46E-01
75.4	13.21	6.52E-01	1.76E+01	6.52E-01
75.5	13.20	6.57E-01	1.78E+01	6.57E-01
75.6	13.18	6.62E-01	1.79E+01	6.62E-01
75.7	13.17	6.67E-01	1.80E+01	6.67E-01
75.8	13.16	6.72E-01	1.82E+01	6.72E-01
75.9	13.14	6.77E-01	1.83E+01	6.77E-01
76.0	13.13	6.83E-01	1.84E+01	6.82E-01
76.1	13.12	6.88E-01	1.86E+01	6.88E-01
76.2	13.10	6.93E-01	1.87E+01	6.93E-01
76.3	13.09	6.98E-01	1.89E+01	6.98E-01
76.4	13.07	7.03E-01	1.90E+01	7.03E-01
76.5	13.06	7.08E-01	1.91E+01	7.08E-01
76.6	13.04	7.13E-01	1.93E+01	7.13E-01
76.7	13.03	7.19E-01	1.94E+01	7.18E-01
76.8	13.01	7.24E-01	1.96E+01	7.24E-01
76.9	12.99	7.29E-01	1.97E+01	7.29E-01
77.0	12.98	7.34E-01	1.98E+01	7.34E-01
77.1	12.96	7.39E-01	2.00E+01	7.39E-01
77.2	12.94	7.44E-01	2.01E+01	7.44E-01
77.3	12.92	7.49E-01	2.03E+01	7.49E-01
77.4	12.91	7.55E-01	2.04E+01	7.54E-01
77.5	12.89	7.60E-01	2.05E+01	7.60E-01
77.6	12.87	7.65E-01	2.07E+01	7.65E-01
77.7	12.85	7.70E-01	2.08E+01	7.70E-01
77.8	12.83	7.75E-01	2.09E+01	7.75E-01
77.9	12.81	7.80E-01	2.11E+01	7.80E-01
78.0	12.80	7.85E-01	2.12E+01	7.85E-01
78.1	12.78	7.91E-01	2.14E+01	7.90E-01
