natCu(p,x)58Co				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(mCi/uAh)	(MBq/uA)

23.7	0.01	2.07E-06	5.58E-08	2.07E-06
23.8	0.01	4.18E-06	1.13E-07	4.18E-06
23.9	0.01	6.41E-06	1.73E-07	6.41E-06
24.0	0.01	8.87E-06	2.40E-07	8.87E-06
24.1	0.02	1.17E-05	3.17E-07	1.17E-05
24.2	0.02	1.52E-05	4.11E-07	1.52E-05
24.3	0.02	1.95E-05	5.27E-07	1.95E-05
24.4	0.03	2.49E-05	6.72E-07	2.49E-05
24.5	0.04	3.16E-05	8.53E-07	3.16E-05
24.6	0.05	3.99E-05	1.08E-06	3.99E-05
24.7	0.06	5.02E-05	1.36E-06	5.02E-05
24.8	0.07	6.28E-05	1.70E-06	6.27E-05
24.9	0.08	7.80E-05	2.11E-06	7.80E-05
25.0	0.10	9.62E-05	2.60E-06	9.62E-05
25.1	0.12	1.18E-04	3.19E-06	1.18E-04
25.2	0.14	1.44E-04	3.88E-06	1.44E-04
25.3	0.16	1.74E-04	4.69E-06	1.74E-04
25.4	0.19	2.09E-04	5.64E-06	2.09E-04
25.5	0.22	2.49E-04	6.74E-06	2.49E-04
25.6	0.25	2.96E-04	8.01E-06	2.96E-04
25.7	0.29	3.50E-04	9.47E-06	3.50E-04
25.8	0.33	4.12E-04	1.11E-05	4.12E-04
25.9	0.37	4.82E-04	1.30E-05	4.82E-04
26.0	0.42	5.62E-04	1.52E-05	5.62E-04
26.1	0.48	6.52E-04	1.76E-05	6.52E-04
26.2	0.54	7.54E-04	2.04E-05	7.54E-04
26.3	0.60	8.68E-04	2.35E-05	8.68E-04
26.4	0.67	9.96E-04	2.69E-05	9.96E-04
26.5	0.75	1.14E-03	3.08E-05	1.14E-03
26.6	0.83	1.30E-03	3.51E-05	1.30E-03
26.7	0.92	1.48E-03	3.99E-05	1.48E-03
26.8	1.02	1.67E-03	4.52E-05	1.67E-03
26.9	1.12	1.89E-03	5.11E-05	1.89E-03
27.0	1.24	2.13E-03	5.76E-05	2.13E-03
27.1	1.36	2.40E-03	6.48E-05	2.40E-03
27.2	1.49	2.69E-03	7.27E-05	2.69E-03
27.3	1.63	3.01E-03	8.13E-05	3.01E-03
27.4	1.78	3.36E-03	9.08E-05	3.36E-03
27.5	1.95	3.75E-03	1.01E-04	3.74E-03
27.6	2.12	4.17E-03	1.13E-04	4.17E-03
27.7	2.31	4.63E-03	1.25E-04	4.62E-03
27.8	2.50	5.13E-03	1.39E-04	5.12E-03
27.9	2.71	5.67E-03	1.53E-04	5.67E-03
28.0	2.94	6.26E-03	1.69E-04	6.26E-03
