27Al(p,x)22Na				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

35.4	20.72	1.97E-02	5.31E-01	1.97E-02
35.5	21.11	2.04E-02	5.51E-01	2.04E-02
35.6	21.51	2.11E-02	5.71E-01	2.11E-02
35.7	21.91	2.19E-02	5.92E-01	2.19E-02
35.8	22.31	2.27E-02	6.13E-01	2.27E-02
35.9	22.71	2.35E-02	6.35E-01	2.35E-02
36.0	23.11	2.43E-02	6.57E-01	2.43E-02
36.1	23.52	2.51E-02	6.79E-01	2.51E-02
36.2	23.92	2.60E-02	7.02E-01	2.60E-02
36.3	24.32	2.68E-02	7.25E-01	2.68E-02
36.4	24.72	2.77E-02	7.49E-01	2.77E-02
36.5	25.12	2.86E-02	7.73E-01	2.86E-02
36.6	25.53	2.95E-02	7.97E-01	2.95E-02
36.7	25.93	3.04E-02	8.22E-01	3.04E-02
36.8	26.33	3.14E-02	8.48E-01	3.14E-02
36.9	26.73	3.23E-02	8.74E-01	3.23E-02
37.0	27.14	3.33E-02	9.00E-01	3.33E-02
37.1	27.54	3.43E-02	9.27E-01	3.43E-02
37.2	27.94	3.53E-02	9.54E-01	3.53E-02
37.3	28.34	3.63E-02	9.82E-01	3.63E-02
37.4	28.74	3.74E-02	1.01E+00	3.74E-02
37.5	29.13	3.84E-02	1.04E+00	3.84E-02
37.6	29.53	3.95E-02	1.07E+00	3.95E-02
37.7	29.92	4.06E-02	1.10E+00	4.06E-02
37.8	30.32	4.17E-02	1.13E+00	4.17E-02
37.9	30.71	4.28E-02	1.16E+00	4.28E-02
38.0	31.10	4.40E-02	1.19E+00	4.40E-02
38.1	31.48	4.51E-02	1.22E+00	4.51E-02
38.2	31.86	4.63E-02	1.25E+00	4.63E-02
38.3	32.24	4.75E-02	1.28E+00	4.75E-02
38.4	32.62	4.87E-02	1.32E+00	4.87E-02
38.5	32.99	4.99E-02	1.35E+00	4.99E-02
38.6	33.36	5.12E-02	1.38E+00	5.12E-02
38.7	33.73	5.24E-02	1.42E+00	5.24E-02
38.8	34.09	5.37E-02	1.45E+00	5.37E-02
38.9	34.45	5.50E-02	1.49E+00	5.50E-02
39.0	34.80	5.63E-02	1.52E+00	5.63E-02
39.1	35.15	5.76E-02	1.56E+00	5.76E-02
39.2	35.49	5.90E-02	1.59E+00	5.90E-02
39.3	35.83	6.03E-02	1.63E+00	6.03E-02
39.4	36.16	6.17E-02	1.67E+00	6.17E-02
39.5	36.49	6.31E-02	1.70E+00	6.31E-02
39.6	36.81	6.45E-02	1.74E+00	6.45E-02
39.7	37.12	6.59E-02	1.78E+00	6.59E-02
39.8	37.43	6.73E-02	1.82E+00	6.73E-02
39.9	37.73	6.88E-02	1.86E+00	6.88E-02
40.0	38.03	7.02E-02	1.90E+00	7.02E-02
40.1	38.32	7.17E-02	1.94E+00	7.17E-02
40.2	38.60	7.32E-02	1.98E+00	7.32E-02
40.3	38.87	7.47E-02	2.02E+00	7.47E-02
40.4	39.14	7.62E-02	2.06E+00	7.62E-02
40.5	39.40	7.77E-02	2.10E+00	7.77E-02
