27Al(p,x)24Na				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(mCi/uAh)	(MBq/uA)

24.0	0.05	1.95E-03	5.27E-05	1.91E-03
24.1	0.05	3.95E-03	1.07E-04	3.86E-03
24.2	0.05	5.99E-03	1.62E-04	5.85E-03
24.3	0.05	8.07E-03	2.18E-04	7.88E-03
24.4	0.05	1.02E-02	2.76E-04	9.96E-03
24.5	0.06	1.24E-02	3.34E-04	1.21E-02
24.6	0.06	1.46E-02	3.94E-04	1.43E-02
24.7	0.06	1.69E-02	4.56E-04	1.65E-02
24.8	0.06	1.92E-02	5.19E-04	1.87E-02
24.9	0.06	2.16E-02	5.83E-04	2.11E-02
25.0	0.06	2.40E-02	6.49E-04	2.35E-02
25.1	0.06	2.65E-02	7.16E-04	2.59E-02
25.2	0.06	2.91E-02	7.85E-04	2.84E-02
25.3	0.07	3.17E-02	8.56E-04	3.09E-02
25.4	0.07	3.43E-02	9.28E-04	3.35E-02
25.5	0.07	3.71E-02	1.00E-03	3.62E-02
25.6	0.07	3.99E-02	1.08E-03	3.89E-02
25.7	0.07	4.27E-02	1.15E-03	4.17E-02
25.8	0.07	4.57E-02	1.23E-03	4.46E-02
25.9	0.07	4.87E-02	1.32E-03	4.75E-02
26.0	0.08	5.17E-02	1.40E-03	5.05E-02
26.1	0.08	5.49E-02	1.48E-03	5.36E-02
26.2	0.08	5.81E-02	1.57E-03	5.68E-02
26.3	0.08	6.15E-02	1.66E-03	6.00E-02
26.4	0.08	6.48E-02	1.75E-03	6.33E-02
26.5	0.08	6.83E-02	1.85E-03	6.67E-02
26.6	0.09	7.19E-02	1.94E-03	7.02E-02
26.7	0.09	7.56E-02	2.04E-03	7.38E-02
26.8	0.09	7.93E-02	2.14E-03	7.75E-02
26.9	0.09	8.31E-02	2.25E-03	8.12E-02
27.0	0.09	8.71E-02	2.35E-03	8.51E-02
27.1	0.10	9.11E-02	2.46E-03	8.90E-02
27.2	0.10	9.53E-02	2.57E-03	9.31E-02
27.3	0.10	9.95E-02	2.69E-03	9.72E-02
27.4	0.10	1.04E-01	2.81E-03	1.01E-01
27.5	0.10	1.08E-01	2.93E-03	1.06E-01
27.6	0.11	1.13E-01	3.05E-03	1.10E-01
27.7	0.11	1.18E-01	3.18E-03	1.15E-01
27.8	0.11	1.22E-01	3.31E-03	1.20E-01
27.9	0.11	1.27E-01	3.44E-03	1.24E-01
28.0	0.12	1.32E-01	3.58E-03	1.29E-01
28.1	0.12	1.38E-01	3.72E-03	1.34E-01
28.2	0.12	1.43E-01	3.86E-03	1.40E-01
28.3	0.13	1.48E-01	4.01E-03	1.45E-01
