#ZVView-data-copy:   3-Mar-2018 00:28:04
#=======================================
#
#name:   13-AL-27(P,X)11-NA-24,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  191
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         49.57            0    0.0057553            0  # 1979,P.Pulver            ## D0508004
          49.6        0.813      0.00623     0.000317  # 1997,R.Michel+           ## O0276012
            50            0       0.0053       0.0003  # 1977,R.Holub+            ## T0128002
        50.166            0    0.0061983            0  # 1979,P.Pulver            ## D0508004
          50.4            1       0.0086       0.0012  # 1985,R.Michel+           ## A0100013
        50.688            0    0.0067387            0  # 1979,P.Pulver            ## D0508004
          50.8         0.34       0.0061      0.00035  # 1982,A.Gruetter          ## D0505024
          50.8         0.34       0.0061      0.00035  # 1982,A.Gruetter          ## D0505024
          51.2        0.797      0.00714     0.000363  # 1997,R.Michel+           ## O0276012
        51.476            0      0.00578      0.00038  # 2004,M.S.Uddin+          ## E1894002
          51.8          0.8      0.00766      0.00048  # 1997,R.Michel+           ## O0276012
          51.8        0.752      0.00798     0.000407  # 1997,R.Michel+           ## O0276012
          52.7        0.783      0.00793     0.000403  # 1997,R.Michel+           ## O0276012
          53.1         1.16      0.00799     0.000566  # 1997,R.Michel+           ## O0276012
          53.2        0.767      0.00809     0.000426  # 1997,R.Michel+           ## O0276012
            54         0.34       0.0078       0.0004  # 1982,A.Gruetter          ## D0505024
            54         0.34       0.0077       0.0004  # 1982,A.Gruetter          ## D0505024
          54.2        0.769      0.00889      0.00045  # 1997,R.Michel+           ## O0276012
          54.6            1       0.0104       0.0014  # 1985,R.Michel+           ## A0100013
          54.7        0.752      0.00921     0.000495  # 1997,R.Michel+           ## O0276012
        54.835            0    0.0079397            0  # 1979,P.Pulver            ## D0508004
            55            0       0.0092       0.0006  # 1977,R.Holub+            ## T0128002
          55.3          0.7      0.00971      0.00065  # 1997,R.Michel+           ## O0276012
          55.3        0.699       0.0101     0.000512  # 1997,R.Michel+           ## O0276012
          55.3        0.752      0.00905     0.000461  # 1997,R.Michel+           ## O0276012
          55.7        0.753       0.0097     0.000492  # 1997,R.Michel+           ## O0276012
          55.7        0.752       0.0097       0.0005  # 1997,R.Michel+           ## O0276012
        55.705            0      0.00834       0.0005  # 2004,M.S.Uddin+          ## E1894002
          56.2         1.15      0.00946     0.000678  # 1997,R.Michel+           ## O0276012
          56.7         1.15      0.00977     0.000699  # 1997,R.Michel+           ## O0276012
          57.2        0.738       0.0103     0.000523  # 1997,R.Michel+           ## O0276012
          58.1        0.721       0.0103     0.000528  # 1997,R.Michel+           ## O0276012
          58.3        0.734       0.0106     0.000551  # 1997,R.Michel+           ## O0276012
          58.7          0.6      0.00979      0.00066  # 1997,R.Michel+           ## O0276012
          58.7        0.649       0.0107     0.000544  # 1997,R.Michel+           ## O0276012
        59.273            0    0.0088419            0  # 1979,P.Pulver            ## D0508004
        59.732            0       0.0095       0.0006  # 2004,M.S.Uddin+          ## E1894002
            60         0.34       0.0095       0.0004  # 1982,A.Gruetter          ## D0505024
            60            0       0.0099       0.0006  # 1977,R.Holub+            ## T0128002
          60.1            1       0.0112       0.0016  # 1985,R.Michel+           ## A0100013
          60.2        0.705        0.011     0.000559  # 1997,R.Michel+           ## O0276012
          61.6        0.689       0.0115     0.000584  # 1997,R.Michel+           ## O0276012
          61.9          0.6       0.0112      0.00071  # 1997,R.Michel+           ## O0276012
          61.9        0.593       0.0116      0.00059  # 1997,R.Michel+           ## O0276012
          62.9        0.674       0.0117     0.000591  # 1997,R.Michel+           ## O0276012
            63        0.853       0.0133      0.00138  # 1993,R.Bodemann+         ## O0282010
        63.511            0       0.0108       0.0007  # 2004,M.S.Uddin+          ## E1894002
          63.7         0.34       0.0099       0.0004  # 1982,A.Gruetter          ## D0505024
          63.7         0.34         0.01       0.0004  # 1982,A.Gruetter          ## D0505024
          64.3        0.658       0.0117     0.000594  # 1997,R.Michel+           ## O0276012
          64.9          0.5       0.0108      0.00068  # 1997,R.Michel+           ## O0276012
          64.9        0.532       0.0114     0.000578  # 1997,R.Michel+           ## O0276012
            65            0        0.018        0.001  # 1977,R.Holub+            ## T0128002
          65.3            1        0.011       0.0015  # 1985,R.Michel+           ## A0100013
          65.6         0.64       0.0117     0.000595  # 1997,R.Michel+           ## O0276012
          66.9        0.622       0.0119     0.000604  # 1997,R.Michel+           ## O0276012
        67.154            0        0.011       0.0007  # 2004,M.S.Uddin+          ## E1894002
          68.2        0.598       0.0113     0.000591  # 1997,R.Michel+           ## O0276012
          68.2        0.603       0.0118     0.000597  # 1997,R.Michel+           ## O0276012
          68.3        0.598       0.0109     0.000746  # 1997,R.Michel+           ## O0276012
          68.5         0.34       0.0099       0.0004  # 1982,A.Gruetter          ## D0505024
          68.9         0.34       0.0099       0.0004  # 1982,A.Gruetter          ## D0505024
          69.4        0.583       0.0116     0.000593  # 1997,R.Michel+           ## O0276012
            70            0        0.012        0.001  # 1977,R.Holub+            ## T0128002
          70.3            1       0.0111       0.0015  # 1985,R.Michel+           ## A0100013
          70.8          0.4       0.0109      0.00069  # 1997,R.Michel+           ## O0276012
          70.8        0.555       0.0114     0.000579  # 1997,R.Michel+           ## O0276012
          70.8        0.556       0.0114     0.000587  # 1997,R.Michel+           ## O0276012
          70.8        0.556       0.0116     0.000594  # 1997,R.Michel+           ## O0276012
          70.8        0.359       0.0117     0.000595  # 1997,R.Michel+           ## O0276012
          70.8         1.03       0.0112     0.000797  # 1997,R.Michel+           ## O0276012
          70.8         1.03       0.0122     0.000871  # 1997,R.Michel+           ## O0276012
          70.8         1.03       0.0115     0.000821  # 1997,R.Michel+           ## O0276012
          70.8         1.03       0.0113     0.000794  # 1997,R.Michel+           ## O0276012
          70.9        0.555       0.0114     0.000591  # 1997,R.Michel+           ## O0276012
          71.1            0     0.010336            0  # 1979,P.Pulver            ## D0508004
            75            1       0.0109       0.0015  # 1985,R.Michel+           ## A0100013
            75            0        0.014        0.001  # 1977,R.Holub+            ## T0128002
            79            2       0.0121       0.0012  # 1985,R.Michel+           ## A0100013
            80            0        0.012        0.001  # 1977,R.Holub+            ## T0128002
            81            0        0.013        0.001  # 1977,R.Holub+            ## T0128002
            85            0        0.013        0.001  # 1977,R.Holub+            ## T0128002
            89            2       0.0114       0.0011  # 1985,R.Michel+           ## A0100013
            94        0.352        0.012      0.00125  # 1993,R.Bodemann+         ## O0282010
            97            2        0.011       0.0011  # 1985,R.Michel+           ## A0100013
           107            2       0.0108       0.0011  # 1985,R.Michel+           ## A0100013
           115            2       0.0106       0.0011  # 1985,R.Michel+           ## A0100013
           117          1.4       0.0113      0.00081  # 1997,R.Michel+           ## O0276012
           117          1.4       0.0114     0.000804  # 1997,R.Michel+           ## O0276012
           124            2       0.0107       0.0011  # 1985,R.Michel+           ## A0100013
           128          1.3       0.0117      0.00082  # 1997,R.Michel+           ## O0276012
