#ZVView-data-copy:   3-Mar-2018 00:35:16
#=======================================
#
#name:   29-CU-0(P,X)30-ZN-65,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  512
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           2.6          0.6       0.0025       0.0003  # 2006,F.S.Al-Saleh+       ## D0422004
           3.2          0.6       0.0075       0.0008  # 2006,F.S.Al-Saleh+       ## D0422004
           3.3          0.6       0.0069       0.0007  # 2006,F.S.Al-Saleh+       ## D0422004
           3.9            0       0.0314            0  # 2001,J.Kuhnhenn          ## O0920002
             4            0        0.033            0  # 2001,J.Kuhnhenn          ## O0920002
          4.03         1.66       0.0691      0.00395  # 1997,R.Michel+           ## O0276140
           4.3            0        0.045            0  # 2001,J.Kuhnhenn          ## O0920002
          4.42          0.4       0.0496       0.0033  # 1985,P.Kopecky           ## A0333004
           4.6          0.6        0.045       0.0045  # 2006,F.S.Al-Saleh+       ## D0422004
           4.6            0       0.0583            0  # 2001,J.Kuhnhenn          ## O0920002
           4.9            0       0.0743            0  # 2001,J.Kuhnhenn          ## O0920002
           5.2            0        0.087            0  # 2001,J.Kuhnhenn          ## O0920002
          5.43         1.44       0.0695      0.00571  # 1997,R.Michel+           ## O0276140
          5.45          0.4        0.098        0.007  # 1985,P.Kopecky           ## A0333004
          5.57         1.44       0.0878      0.00469  # 1997,R.Michel+           ## O0276140
           5.6            0        0.102            0  # 2001,J.Kuhnhenn          ## O0920002
           5.7          0.4        0.103        0.012  # 2001,F.Szelecsenyi+      ## D4083003
         5.792            1        0.179        0.012  # 2006,E.Z.Buthelezi+      ## O1424004
           5.8          0.6       0.0903        0.009  # 2006,F.S.Al-Saleh+       ## D0422004
             6          1.4        0.123      0.00648  # 1997,R.Michel+           ## O0276140
          6.01         1.39       0.0524      0.00283  # 1997,R.Michel+           ## O0276140
           6.2         0.72      0.11909      0.01339  # 2002,S.Takacs+           ## D4106006
