#ZVView-data-copy:   3-Mar-2018 00:16:45
#=======================================
#
#name:   13-AL-27(P,X)11-NA-22,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  185
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          24.7        0.644      1.01e-5      5.33e-6  # 1997,R.Michel+           ## O0276011
            25            2      0.00012       2.3e-5  # 1988,V.N.Aleksandrov+    ## A0340002
          26.5          0.8       7.5e-5       4.5e-6  # 1976,J.R.Walton+         ## O0350025
         26.58          0.4      0.00038         4e-6  # 1979,R.Michel+           ## A0151002
          26.6        0.793     0.000208      1.14e-5  # 1997,R.Michel+           ## O0276011
          28.3            1      0.00026      1.56e-5  # 1976,J.R.Walton+         ## O0350025
          28.3          1.2      0.00052      3.12e-5  # 1976,J.R.Walton+         ## O0350025
        28.649            0   0.00065797            0  # 1979,P.Pulver            ## D0508003
          28.7         0.37     0.000417      0.00036  # 1979,R.Michel+           ## A0151002
        28.855            0   0.00075083            0  # 1979,P.Pulver            ## D0508003
        28.912            0   0.00085654            0  # 1979,P.Pulver            ## D0508003
         29.04            0    0.0010147            0  # 1979,P.Pulver            ## D0508003
          29.1        0.763      0.00169       8.8e-5  # 1997,R.Michel+           ## O0276011
        29.319            0    0.0011581            0  # 1979,P.Pulver            ## D0508003
        29.514            0    0.0014382            0  # 1979,P.Pulver            ## D0508003
        29.597            0    0.0024581            0  # 1979,P.Pulver            ## D0508003
          29.6         0.34      0.00229      6.87e-5  # 1982,A.Gruetter          ## D0505023
          29.6        0.571      0.00164      9.45e-5  # 1997,R.Michel+           ## O0276011
        29.645            0    0.0016564            0  # 1979,P.Pulver            ## D0508003
          29.9          1.1       0.0018     0.000108  # 1976,J.R.Walton+         ## O0350025
         29.92            0    0.0019629            0  # 1979,P.Pulver            ## D0508003
            30          1.8        0.003      0.00056  # 1988,V.N.Aleksandrov+    ## A0340002
         30.38            0       0.0011     0.000187  # 1976,J.R.Walton+         ## O0350025
         30.69         0.33       0.0022      0.00026  # 1979,R.Michel+           ## A0151002
        30.726            0      0.00081         7e-5  # 2004,M.S.Uddin+          ## E1894003
            31            0       0.0018      0.00036  # 1976,J.R.Walton+         ## O0350025
          31.4        0.752      0.00706      0.00036  # 1997,R.Michel+           ## O0276011
          31.6         2.47      0.00724     0.000737  # 1993,R.Bodemann+         ## O0282009
          31.6            1       0.0055      0.00033  # 1976,J.R.Walton+         ## O0350025
