#ZVView-data-copy:   3-Mar-2018 00:34:22
#=======================================
#
#name:   29-CU-0(P,X)30-ZN-63,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  115
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           4.6          0.6       0.0252       0.0025  # 2006,F.S.Al-Saleh+       ## D0422003
           5.7          0.4        0.121        0.016  # 2001,F.Szelecsenyi+      ## D4083003
           5.8          0.6       0.1097        0.011  # 2006,F.S.Al-Saleh+       ## D0422003
           6.2         0.72      0.15127      0.01721  # 2002,S.Takacs+           ## D4106005
           6.5          0.4        0.164        0.021  # 2001,F.Szelecsenyi+      ## D4083003
           6.8          0.6       0.1759       0.0176  # 2006,F.S.Al-Saleh+       ## D0422003
             7         0.75        0.198        0.012  # 2009,T.Siiskonen+        ## D0549003
           7.2          0.4        0.187        0.024  # 2001,F.Szelecsenyi+      ## D4083003
           7.7          0.6        0.212       0.0212  # 2006,F.S.Al-Saleh+       ## D0422003
           8.2          0.4        0.245         0.03  # 2001,F.Szelecsenyi+      ## D4083003
          8.22         0.68      0.23426      0.02669  # 2002,S.Takacs+           ## D4106005
          8.36         0.65        0.257        0.018  # 2009,T.Siiskonen+        ## D0549003
           8.5          0.6       0.2409       0.0241  # 2006,F.S.Al-Saleh+       ## D0422003
           9.1          0.3        0.285        0.035  # 2001,F.Szelecsenyi+      ## D4083003
           9.3          0.6       0.2533       0.0253  # 2006,F.S.Al-Saleh+       ## D0422003
          9.62          0.6        0.285        0.024  # 2009,T.Siiskonen+        ## D0549003
          9.92         0.63      0.28931      0.03279  # 2002,S.Takacs+           ## D4106005
            10          0.5       0.2752       0.0275  # 2006,F.S.Al-Saleh+       ## D0422003
            10          0.3        0.299        0.036  # 2001,F.Szelecsenyi+      ## D4083003
          10.7          0.5       0.2918       0.0292  # 2006,F.S.Al-Saleh+       ## D0422003
         10.74         0.55        0.314        0.027  # 2009,T.Siiskonen+        ## D0549003
          10.8          0.3        0.326         0.04  # 2001,F.Szelecsenyi+      ## D4083003
            11          4.2         0.38         0.07  # 1987,V.N.Aleksandrov+    ## A0351002
          11.3          0.5       0.3148       0.0315  # 2006,F.S.Al-Saleh+       ## D0422003
         11.44         0.59      0.32631      0.03686  # 2002,S.Takacs+           ## D4106005
          11.5          0.3        0.353        0.045  # 2001,F.Szelecsenyi+      ## D4083003
          11.9          0.5       0.3276       0.0328  # 2006,F.S.Al-Saleh+       ## D0422003
         12.12         0.45        0.334        0.025  # 2009,T.Siiskonen+        ## D0549003
          12.2          0.3        0.364        0.048  # 2001,F.Szelecsenyi+      ## D4083003
          12.6          0.5       0.3331       0.0333  # 2006,F.S.Al-Saleh+       ## D0422003
         12.81         0.55      0.33753      0.03808  # 2002,S.Takacs+           ## D4106005
          12.9          0.2         0.35        0.047  # 2001,F.Szelecsenyi+      ## D4083003
          13.1          0.5       0.1523       0.0152  # 2006,F.S.Al-Saleh+       ## D0422003
         13.39          0.4        0.295        0.023  # 2009,T.Siiskonen+        ## D0549003
          13.6          0.2        0.343         0.04  # 2001,F.Szelecsenyi+      ## D4083003
          13.7          0.5       0.3107       0.0311  # 2006,F.S.Al-Saleh+       ## D0422003
         14.09         0.52      0.29902      0.03373  # 2002,S.Takacs+           ## D4106005
          14.2          0.5       0.2814       0.0281  # 2006,F.S.Al-Saleh+       ## D0422003
          14.3          0.2        0.307        0.036  # 2001,F.Szelecsenyi+      ## D4083003
          14.8          0.5       0.2531       0.0253  # 2006,F.S.Al-Saleh+       ## D0422003
         14.84         0.35        0.224        0.021  # 2009,T.Siiskonen+        ## D0549003
          14.9          0.2        0.274        0.032  # 2001,F.Szelecsenyi+      ## D4083003
            15          0.5       0.2245       0.0225  # 2006,F.S.Al-Saleh+       ## D0422003
         15.28         0.48      0.22394      0.02528  # 2002,S.Takacs+           ## D4106005
         15.35         0.89      0.22604      0.02549  # 2002,S.Takacs+           ## D4106005
          15.5          0.2        0.229        0.027  # 2001,F.Szelecsenyi+      ## D4083003
          15.6          0.5       0.2033       0.0203  # 2006,F.S.Al-Saleh+       ## D0422003
          16.1          0.2        0.184        0.022  # 2001,F.Szelecsenyi+      ## D4083003
         16.41         0.45       0.1597      0.01805  # 2002,S.Takacs+           ## D4106005
         16.45          0.3        0.139        0.017  # 2009,T.Siiskonen+        ## D0549003
          16.5          0.5       0.1337       0.0134  # 2006,F.S.Al-Saleh+       ## D0422003
          16.6          0.1        0.156        0.018  # 2001,F.Szelecsenyi+      ## D4083003
         16.72         0.83      0.14557      0.01644  # 2002,S.Takacs+           ## D4106005
            17          0.4       0.1239       0.0124  # 2006,F.S.Al-Saleh+       ## D0422003
          17.2          0.1        0.125        0.015  # 2001,F.Szelecsenyi+      ## D4083003
         17.48         0.42      0.11114      0.01259  # 2002,S.Takacs+           ## D4106005
          17.5          0.4       0.0945       0.0095  # 2006,F.S.Al-Saleh+       ## D0422003
          17.7          0.1        0.105        0.012  # 2001,F.Szelecsenyi+      ## D4083003
         18.01         0.77      0.09234      0.01046  # 2002,S.Takacs+           ## D4106005
          18.3          0.4       0.0742       0.0074  # 2006,F.S.Al-Saleh+       ## D0422003
          18.4          0.4       0.0738       0.0074  # 2006,F.S.Al-Saleh+       ## D0422003
         18.51         0.39      0.07977      0.00905  # 2002,S.Takacs+           ## D4106005
          18.9          0.4       0.0705        0.007  # 2006,F.S.Al-Saleh+       ## D0422003
         19.24         0.72      0.06572      0.00751  # 2002,S.Takacs+           ## D4106005
          19.4          0.4       0.0653       0.0065  # 2006,F.S.Al-Saleh+       ## D0422003
         19.49         0.37       0.0603      0.00686  # 2002,S.Takacs+           ## D4106005
          20.2          0.4        0.051       0.0051  # 2006,F.S.Al-Saleh+       ## D0422003
          20.3          0.4       0.0406       0.0041  # 2006,F.S.Al-Saleh+       ## D0422003
          20.4         0.68      0.04611      0.00526  # 2002,S.Takacs+           ## D4106005
         20.44         0.34      0.04607      0.00525  # 2002,S.Takacs+           ## D4106005
          21.1          0.4       0.0379       0.0038  # 2006,F.S.Al-Saleh+       ## D0422003
         21.35         0.32      0.03721      0.00425  # 2002,S.Takacs+           ## D4106005
          21.4          0.4       0.0389       0.0039  # 2006,F.S.Al-Saleh+       ## D0422003
         21.52         0.63      0.04291      0.00517  # 2002,S.Takacs+           ## D4106005
          21.8          0.4       0.0332       0.0033  # 2006,F.S.Al-Saleh+       ## D0422003
          21.9          0.4       0.0342       0.0034  # 2006,F.S.Al-Saleh+       ## D0422003
            22          2.8         0.14        0.024  # 1987,V.N.Aleksandrov+    ## A0351002
         22.24          0.3      0.03129      0.00358  # 2002,S.Takacs+           ## D4106005
          22.6          0.4       0.0379       0.0038  # 2006,F.S.Al-Saleh+       ## D0422003
          22.6         0.59      0.03495      0.00414  # 2002,S.Takacs+           ## D4106005
          22.7          0.4       0.0312       0.0031  # 2006,F.S.Al-Saleh+       ## D0422003
         23.64         0.55      0.02792       0.0032  # 2002,S.Takacs+           ## D4106005
          23.7          0.4       0.0309       0.0031  # 2006,F.S.Al-Saleh+       ## D0422003
          24.1          0.4       0.0288       0.0029  # 2006,F.S.Al-Saleh+       ## D0422003
          24.3          0.4       0.0263       0.0026  # 2006,F.S.Al-Saleh+       ## D0422003
         24.64         0.52      0.02735      0.00324  # 2002,S.Takacs+           ## D4106005
         25.11            0      0.04556     0.005614  # 1976,Y.Yoshizawa+        ## E1866002
          25.2          0.4       0.0277       0.0028  # 2006,F.S.Al-Saleh+       ## D0422003
          26.2          0.4       0.0264       0.0026  # 2006,F.S.Al-Saleh+       ## D0422003
          26.3          0.4       0.0315       0.0032  # 2006,F.S.Al-Saleh+       ## D0422003
         26.56         0.45      0.03287        0.004  # 2002,S.Takacs+           ## D4106005
          27.4          0.4       0.0257       0.0026  # 2006,F.S.Al-Saleh+       ## D0422003
         27.48         0.42      0.03947      0.00463  # 2002,S.Takacs+           ## D4106005
         27.65            0      0.04111     0.005067  # 1976,Y.Yoshizawa+        ## E1866002
         28.38         0.39      0.04142      0.00556  # 2002,S.Takacs+           ## D4106005
         29.26         0.37      0.05238       0.0064  # 2002,S.Takacs+           ## D4106005
            30          2.1         0.06        0.011  # 1987,V.N.Aleksandrov+    ## A0351002
         30.12         0.34       0.0539       0.0065  # 2002,S.Takacs+           ## D4106005
          30.2            0      0.04353     0.005365  # 1976,Y.Yoshizawa+        ## E1866002
         30.96         0.32      0.05082      0.00633  # 2002,S.Takacs+           ## D4106005
         31.78          0.3      0.05438      0.00618  # 2002,S.Takacs+           ## D4106005
         32.74            0      0.04044     0.004984  # 1976,Y.Yoshizawa+        ## E1866002
         35.77            0      0.04472     0.004073  # 1976,Y.Yoshizawa+        ## E1866002
            36          1.3        0.046       0.0089  # 1987,V.N.Aleksandrov+    ## A0351002
         39.28            0      0.04035     0.004972  # 1976,Y.Yoshizawa+        ## E1866002
         42.66            0      0.03241     0.003994  # 1976,Y.Yoshizawa+        ## E1866002
         45.68            0      0.02492      0.00227  # 1976,Y.Yoshizawa+        ## E1866002
         48.83            0      0.02282     0.002078  # 1976,Y.Yoshizawa+        ## E1866002
            50          2.1        0.015       0.0025  # 1987,V.N.Aleksandrov+    ## A0351002
         51.85            0      0.01914     0.002674  # 1976,Y.Yoshizawa+        ## E1866002
            59          1.2        0.018       0.0032  # 1987,V.N.Aleksandrov+    ## A0351002
            70          0.9       0.0092       0.0017  # 1987,V.N.Aleksandrov+    ## A0351002
            79          2.2       0.0053       0.0011  # 1987,V.N.Aleksandrov+    ## A0351002
            89          1.9       0.0048      0.00091  # 1987,V.N.Aleksandrov+    ## A0351002
            98          1.5       0.0031      0.00059  # 1987,V.N.Aleksandrov+    ## A0351002
//
#-------------------------------------------------------------------------------
#
#name:   29-CU-0(P,X)30-ZN-63,IND,SIG,,,EXP
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  70
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          4.91         0.04      0.00078         6e-5  # 1975,J.N.Barrandon+      ## O0086014
          5.82         0.04      0.00372         6e-5  # 1975,J.N.Barrandon+      ## O0086014
          6.52         0.04      0.00751         6e-5  # 1975,J.N.Barrandon+      ## O0086014
           7.1         0.04      0.01045         6e-5  # 1975,J.N.Barrandon+      ## O0086014
          7.39         0.04      0.01213         6e-5  # 1975,J.N.Barrandon+      ## O0086014
          7.97         0.04      0.01634         6e-5  # 1975,J.N.Barrandon+      ## O0086014
          8.73         0.04      0.01869         6e-5  # 1975,J.N.Barrandon+      ## O0086014
          9.14         0.04      0.01969         6e-5  # 1975,J.N.Barrandon+      ## O0086014
          9.72         0.04      0.02078         6e-5  # 1975,J.N.Barrandon+      ## O0086014
          10.3         0.04      0.02389         6e-5  # 1975,J.N.Barrandon+      ## O0086014
          10.7            0        0.278        0.023  # 1992,S.J.Mills+          ## A0507002
         10.74         0.04      0.02557         6e-5  # 1975,J.N.Barrandon+      ## O0086014
         11.35         0.04      0.02599         6e-5  # 1975,J.N.Barrandon+      ## O0086014
         11.64         0.04      0.02919         6e-5  # 1975,J.N.Barrandon+      ## O0086014
         11.76         0.04      0.03146         6e-5  # 1975,J.N.Barrandon+      ## O0086014
         12.34         0.04      0.02892         6e-5  # 1975,J.N.Barrandon+      ## O0086014
         12.78         0.04      0.02959         6e-5  # 1975,J.N.Barrandon+      ## O0086014
         13.21         0.04       0.0279         6e-5  # 1975,J.N.Barrandon+      ## O0086014
         13.39         0.04      0.03085         6e-5  # 1975,J.N.Barrandon+      ## O0086014
